X,Y,OBJECTID,CASENUMBER,LECASENUM,CRASH_KEY,AV_DATE,MNTH,DAYOFWEEK,TIMESTR,DISTRICT,CNTY,CITYNAME,SYSTEMSTR,LITERAL,FRSTHARM,LOCFSTHRM,CRCOMNNR,MAJCSE,DRUGALC,ECNTCRC,LGHT,LGHTNG,CSRFCND,WEATHER,RCNTCRC,PAVED,WZRELATED,CSEV,FATALITIES,INJURIES,MAJINJURY,MININJURY,POSSINJURY,UNKINJURY,PROPDMG,VEHICLES,TOCCUPANTS,REPORT,XCOORD,YCOORD,CRASH_YEAR
-92.298288325483455,43.213093140743958,1125,2003014152,SP3081112066,2003012623,20030310,March,Monday,14:13,District 2 (Northeast),Howard,N/A,US 63,US 63/US HWY 63,Collision with:  Vehicle in traffic,On Roadway,Head-on,Crossed centerline,Drug,None apparent,Daylight,Daylight,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,2,0,2,0,0,52500,2,3,2001 Officer TraCS,556998,4784717,2003
-92.933170155044579,41.30625944813076,1625,2003022080,SP3144052114,2003019513,20030427,April,Sunday,10:43,District 5 (Southeast),Marion,N/A,IA 92,IA 92/HWY 92 & 216TH PL,Collision with:  Vehicle in/from other roadway,On Roadway,Broadside,FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,2,0,0,2,0,14000,2,4,2001 Officer TraCS,505595,4572757,2003
-92.355864407080858,42.715143227844273,2307,2003024554,SP3092522096,2003021692,20030404,April,Friday,15:25,District 2 (Northeast),Bremer,N/A,IA 3,IA 3/IOWA 3,Collision with:  Vehicle in traffic,On Roadway,Head-on,Crossed centerline,Drug,Weather conditions,Daylight,Daylight,Snow,Snow,Road surface condition,Paved,,Fatal,1,1,1,0,0,0,20000,2,2,2001 Officer TraCS,552745,4729383,2003
-93.557836180774501,42.783587223585705,2605,2003028289,SP3073792158,2003025077,20030603,June,Tuesday,09:05,District 2 (Northeast),Wright,N/A,,Co Rd R65/VICTOR AVE,Non-collision events:  Overturn/rollover,On Roadway,Non-collision,Ran off road - right,None Indicated,None apparent,Daylight,Daylight,Sand/mud/dirt/oil/gravel,Cloudy,Road surface condition,Unpaved,,Fatal,1,0,0,0,0,0,10000,1,1,2001 Officer TraCS,454373,4736933,2003
-90.691641999525572,42.547590001483258,2706,2003027844,03-7464,2003024679,20030612,June,Thursday,02:52,District 6 (East Central),Dubuque,N/A,,Co Rd Y35/JOHN DEERE RD S,Collision with fixed object:  Sign post,Roadside,Non-collision,Exceeded authorized speed,Alcohol (Statutory),None apparent,Dark - roadway not lighted,Darkness,Dry,Cloudy,None apparent,Paved,,Fatal,1,0,0,0,0,0,10100,1,1,2001 Officer TraCS,689530,4713159,2003
-93.550121467160537,41.731841867082217,2746,2003037229,03-73457,2003032972,20030806,August,Wednesday,16:35,District 1 (Central),Polk,N/A,,NE 94TH AVE,Non-collision events:  Overturn/rollover,On Roadway,Non-collision,Operating vehicle in an erratic/reckless/careless/negligent/aggressive manner,None Indicated,None apparent,Daylight,Daylight,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,0,0,0,0,0,2000,1,1,2001 Officer TraCS,454250,4620149,2003
-93.462598572264113,42.077871988052038,2756,2003039511,03-14854,2003034941,20030729,July,Tuesday,19:00,District 1 (Central),Story,N/A,,Co Rd E29/190TH ST & Co Rd S14/620TH AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside,Ran Traffic Signal,None Indicated,None apparent,Daylight,Daylight,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,3,0,3,0,0,12100,2,4,2001 Officer TraCS,461736,4658525,2003
-93.837171680808808,40.756175122200801,2778,2003039882,SP3024742293,2003035282,20030816,August,Saturday,10:07,District 5 (Southeast),Decatur,N/A,I-35,I-35,Collision with fixed object:  Ditch/embankment,Shoulder,Non-collision,Swerving/Evasive Action,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,3,1,2,0,0,10000,1,4,2001 Officer TraCS,429334,4512027,2003
-93.639588745783243,42.045463236273655,2865,2003038418,03-13542,2003033952,20030806,August,Wednesday,13:00,District 1 (Central),Story,Ames,,24TH ST & PRAIRIE VIEW W & KENT AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside,Ran Stop Sign,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,3,1,0,2,0,27500,3,4,2001 Officer TraCS,447069,4655021,2003
-95.130542244306085,43.365790348295477,2987,2003032221,,2003028630,20030704,July,Friday,00:25,District 3 (Northwest),Dickinson,Arnolds Park,US 71,US 71/OKOBOJI GROVE RD & DEWEY ST,Collision with:  Vehicle in traffic,On Roadway,Angle - oncoming left turn,Swerving/Evasive Action,Drug/Alcohol (Statutory),Not Reported,Dark - roadway lighted,Darkness,Dry,Severe winds,Not Reported,Paved,,Fatal,2,0,0,0,0,0,1200,2,4,2001 Officer Paper,327375,4803640,2003
-95.123721769545355,41.274102122845242,79,2003000873,SP3030991012,2003000792,20030104,January,Saturday,07:52,District 4 (Southwest),Cass,N/A,,Co Rd M56/LEWIS RD,Non-collision events:  Overturn/rollover,Roadside,Non-collision,Driving too fast for conditions,None Indicated,None apparent,Dawn,Daylight,Ice,Cloudy,Road surface condition,Paved,,Fatal,1,0,0,0,0,0,8000,1,1,2001 Officer TraCS,322129,4571360,2003
-93.774836860999358,41.537838381744272,695,2003007700,03-0875,2003006857,20030218,February,Tuesday,20:13,District 1 (Central),Polk,West Des Moines,I-35,I-35,Non-collision events:  Jackknife,Shoulder,Rear-end,Swerving/Evasive Action,None Indicated,Other (explain in narrative),Dark - roadway not lighted,Darkness,Water (standing/moving),Cloudy,Work Zone (construction/maintenance/utility),Paved,Yes,Fatal,2,2,0,0,2,0,30000,2,4,2001 Officer TraCS,435368,4598754,2003
-96.028476129122154,41.5803207943027,761,2003011240,SP3040682011,2003009999,20030226,February,Wednesday,12:10,District 4 (Southwest),Harrison,N/A,,Co Rd K45/AUSTIN AVE & 295TH ST,Collision with:  Vehicle in traffic,On Roadway,Head-on,Crossed centerline,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,2,0,0,0,0,0,65000,2,2,2001 Officer TraCS,247534,4607611,2003
-93.340832010929304,42.98902916550972,950,2003013699,03-25-1259,2003012220,20030322,March,Saturday,01:17,District 2 (Northeast),Cerro Gordo,N/A,I-35,I-35,Collision with fixed object:  Ditch/embankment,Median,Non-collision,Ran off road - left,None Indicated,None apparent,Dark - roadway not lighted,Darkness,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,0,0,0,0,0,6000,1,1,2001 Officer TraCS,472215,4759652,2003
-91.656270516901003,40.973510124074053,4794,2003057691,0344111103,2003051037,20031111,November,Tuesday,18:00,District 5 (Southeast),Henry,N/A,US 34,US 34/HWY 34,Collision with:  Vehicle in traffic,On Roadway,Head-on,Crossed centerline,None Indicated,None apparent,Dark - roadway not lighted,Darkness,Dry,Clear,None apparent,Paved,,Fatal,1,1,1,0,0,0,8500,2,2,2001 Officer TraCS,613057,4536685,2003
-91.843842521651837,43.211906146200072,4939,2003067782,,2003060259,20031116,November,Sunday,05:30,District 2 (Northeast),Winneshiek,N/A,,187TH ST,Collision with fixed object:  Ditch/embankment,Roadside,Non-collision,Ran off road - straight,Alcohol (Statutory),Weather conditions,Dark - roadway not lighted,Darkness,Wet,Fog/smoke,None apparent,Unpaved,,Fatal,1,0,0,0,0,0,4000,1,1,2001 Officer Paper,593913,4784995,2003
-92.027781339158693,41.963374744685154,6188,2004209156,SP4111982235,2004008472,20040218,February,Wednesday,15:25,District 6 (East Central),Benton,N/A,US 30,US 30/73 ST & US 218/24 AVE & Co Rd V70,Collision with:  Vehicle in traffic,On Roadway,Broadside,FTYROW:  From yield sign,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,1,0,1,0,0,23100,3,3,2001 Officer TraCS,580564,4646166,2004
-91.536146336364311,41.290791271627427,6224,2004208592,SP4131052068,2004007948,20040211,February,Wednesday,15:30,District 5 (Southeast),Washington,N/A,US 218,US 218/SW RAMP CURV/SW LOOP & IA 92,Collision with:  Vehicle in traffic,On Roadway,Broadside,Ran Stop Sign,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,2,1,1,0,0,25000,2,3,2001 Officer TraCS,622572,4572071,2004
-94.501505574857177,41.732804871236908,6393,2004210163,,2004009405,20040229,February,Sunday,06:00,District 4 (Southwest),Guthrie,N/A,IA 25,IA 25/HWY 25,Collision with fixed object:  Ditch/embankment,Shoulder,Non-collision,Ran off road - left,None Indicated,None apparent,Dark - roadway not lighted,Darkness,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,0,0,0,0,0,1000,1,1,2001 Officer Paper,375129,4621199,2004
-93.354569241667008,43.146502424839966,6451,2004211076,,2004010269,20040210,February,Tuesday,08:41,District 2 (Northeast),Cerro Gordo,Clear Lake,I-35,I-35 & IA 122/IOWA 122,Collision with:  Vehicle in traffic,On Roadway,Rear-end,Driving too fast for conditions,None Indicated,None apparent,Daylight,Daylight,Wet,Clear,None apparent,Paved,,Fatal,1,2,0,0,2,0,9075,2,4,2001 Officer Paper,471169,4777144,2004
-92.66480468747136,41.999299992456663,6537,2004211745,SP4112002250,2004010891,20040224,February,Tuesday,23:50,District 1 (Central),Tama,N/A,US 30,US 30/HWY 30,Collision with:  Non-motorist (see non-motorist type),On Roadway,Non-collision,FTYROW:  To pedestrian,Drug,Pedestrian action,Dark - roadway not lighted,Darkness,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,0,1,1,2001 Officer TraCS,527761,4649752,2004
-93.201235701706921,43.104353749075287,6667,2004215044,04-25-1490,2004013929,20040321,March,Sunday,00:34,District 2 (Northeast),Cerro Gordo,N/A,US 18,US 18 & US 65,Collision with fixed object:  Underpass/structure support,Median,Non-collision,Ran off road - left,None Indicated,None apparent,Dark - roadway not lighted,Darkness,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,0,0,0,0,0,2000,1,1,2001 Officer TraCS,483626,4772422,2004
-92.958477516072065,42.744918078660405,6986,2004217757,SP4091452325,2004016398,20040412,April,Monday,11:50,District 2 (Northeast),Butler,Dumont,IA 3,IA 3/SOUTH ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end,Unknown,None Indicated,Other (explain in narrative),Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,7000,2,2,2001 Officer TraCS,503399,4732489,2004
-95.927527400989774,42.295848696419611,3167,2003043719,S03-006571,2003038589,20030913,September,Saturday,17:16,District 3 (Northwest),Woodbury,N/A,,Co Rd D54/DEER RUN TR,Collision with:  Other non-fixed object (explain in narrative),Roadside,Non-collision,Crossed centerline,Alcohol (Statutory),None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,4500,1,1,2001 Officer TraCS,258666,4686775,2003
-96.253678023708105,42.938290413844285,3177,2003043925,SP3063742258,2003038773,20030823,August,Saturday,12:40,District 3 (Northwest),Sioux,N/A,,FIR AVE & 490TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside,FTYROW:  At uncontrolled intersection,None Indicated,Physical obstruction,Daylight,Daylight,Sand/mud/dirt/oil/gravel,Clear,None apparent,Unpaved,,Fatal,1,1,1,0,0,0,55000,2,2,2001 Officer TraCS,234523,4759099,2003
-94.391229870624386,41.038181512659037,3184,2003042798,SP3023312306,2003037754,20030822,August,Friday,15:50,District 4 (Southwest),Union,N/A,US 34,US 34/US HWY 34,Collision with:  Vehicle in traffic,On Roadway,Head-on,FTYROW:  From driveway,Drug/Alcohol (Statutory),None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,1,1,0,0,0,12000,2,3,2001 Officer TraCS,383062,4543927,2003
-91.75675944421161,42.467786156413894,3275,2003043501,SP3104082351,2003038392,20030720,July,Sunday,15:00,District 6 (East Central),Buchanan,N/A,,Co Rd D22/220TH ST,Collision with:  Vehicle in traffic,On Roadway,Head-on,Crossed centerline,Drug/Alcohol (< Statutory),None apparent,Daylight,Daylight,Other (explain in narrative),Rain,None apparent,Paved,,Fatal,2,0,0,0,0,0,10000,2,2,2001 Officer TraCS,602206,4702464,2003
-91.467451413057447,41.880742802540034,3296,2003037708,,2003033306,20030531,May,Saturday,04:30,District 6 (East Central),Linn,N/A,IA 1,IA 1/IOWA 1,Collision with fixed object:  Guardrail,Shoulder,Non-collision,Crossed centerline,Alcohol (Statutory),None apparent,Dark - roadway not lighted,Darkness,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,1,1,0,0,0,3000,1,2,2001 Officer Paper,627161,4637670,2003
